LINEAR AT: tag	name	text	class	description	position (top-left x&y)	size (w&h)
label	Home	Home			(1833, 1037)	(40, 17)
label	test.​py	test.​py			(1830, 920)	(46, 17)
document-web	test.py - Visual Studio Code	""			(70, 89)	(1850, 991)
section	Explorer (Ctrl+Shift+E)	""			(70, 89)	(48, 48)
section					(82, 101)	(24, 24)
static					(82, 101)	(24, 24)
section	Search (Ctrl+Shift+F)	""			(70, 137)	(48, 48)
section					(82, 149)	(24, 24)
static					(82, 149)	(24, 24)
section	Source Control (Ctrl+Shift+G)	""			(70, 185)	(48, 48)
section					(82, 197)	(24, 24)
static					(82, 197)	(24, 24)
section	Run and Debug (Ctrl+Shift+D)	""			(70, 233)	(48, 48)
section					(82, 245)	(24, 24)
static					(82, 245)	(24, 24)
section	Extensions (Ctrl+Shift+X)	""			(70, 281)	(48, 48)
section					(82, 293)	(24, 24)
static					(82, 293)	(24, 24)
push-button	Accounts	""			(70, 962)	(48, 48)
section	Accounts	""			(70, 962)	(48, 48)
section					(82, 974)	(24, 24)
static					(82, 974)	(24, 24)
push-button	Manage - New Code update available.	""			(70, 1010)	(48, 48)
section	Manage - New Code update available.	""			(70, 1010)	(48, 48)
section					(82, 1022)	(24, 24)
static					(82, 1022)	(24, 24)
section	Manage - New Code update available.	""			(70, 1010)	(48, 48)
section		1			(94, 1034)	(16, 16)
static	1	1			(99, 1037)	(6, 10)
section	~/Desktop/test.py	""			(128, 89)	(81, 35)
section					(128, 89)	(22, 35)
static					(128, 96)	(20, 20)
section		test.py			(150, 89)	(59, 35)
static	test.py	test.py			(150, 99)	(41, 14)
push-button	Close (Ctrl+W)	""			(213, 96)	(20, 21)
section					(215, 98)	(16, 17)
static					(215, 98)	(16, 17)
push-button	Split Editor Right (Ctrl+\) [Alt] Split Editor Down	""			(1860, 95)	(22, 23)
section					(1863, 98)	(16, 17)
static					(1863, 98)	(16, 17)
push-button	More Actions...	""			(1886, 95)	(22, 23)
section					(1889, 98)	(16, 17)
static					(1889, 98)	(16, 17)
section	/home	""			(134, 124)	(34, 22)
section		home			(134, 124)	(34, 22)
static	home	home			(134, 128)	(34, 14)
section					(167, 127)	(17, 16)
static					(167, 127)	(17, 16)
